"MonYear","Analytic"
"1-2002",61.4749635036496
"1-2003",52.4116326530612
"1-2004",64.6954205607477
"1-2005",55.5788127853881
"1-2006",62.621725
"1-2007",61.3292911392405
"1-2008",57.0654594594595
"1-2009",57.8016083916084
"1-2010",63.6610256410256
"1-2011",58.3078325123153
"10-2002",56.341724137931
"10-2003",64.1004761904762
"10-2004",60.9325806451613
"10-2005",54.2919553072626
"10-2006",59.986717791411
"10-2007",62.8674596774194
"10-2008",59.294347826087
"10-2009",58.114
"10-2010",59.6049230769231
"10-2011",63.2616091954023
"11-2002",55.7134693877551
"11-2003",70.8854838709677
"11-2004",66.5577906976744
"11-2005",58.9297368421053
"11-2006",60.3361994609164
"11-2007",61.1215384615385
"11-2008",57.8982242990654
"11-2009",61.4640458015267
"11-2010",65.338
"11-2011",58.811724137931
"12-2002",56.7296330275229
"12-2003",59.7146808510638
"12-2004",55.0220869565217
"12-2005",62.0541792929293
"12-2006",63.9274025974026
"12-2007",58.9027188940092
"12-2008",57.3395161290323
"12-2009",56.8585714285714
"12-2010",57.8322535211268
"12-2011",65.91984
"2-2002",56.3827083333333
"2-2003",61.1815322580645
"2-2004",60.0589908256881
"2-2005",63.4216981132075
"2-2006",60.1228391167192
"2-2007",56.9832569974555
"2-2008",53.7252
"2-2009",57.2699421965318
"2-2010",61.4510185185185
"2-2011",67.8009243697479
"3-2002",66.1884285714286
"3-2003",58.0618446601942
"3-2004",63.704854368932
"3-2005",65.6870072992701
"3-2006",61.5285338345865
"3-2007",57.9847916666667
"3-2008",61.4781666666667
"3-2009",57.44875
"3-2010",60.8019587628866
"3-2011",57.9129452054795
"4-2002",57.5932407407407
"4-2003",82.7647058823529
"4-2004",58.9545185185185
"4-2005",62.6776859504132
"4-2006",61.755
"4-2007",63.1752407932011
"4-2008",58.106744966443
"4-2009",67.2422754491018
"4-2010",58.5538596491228
"4-2011",61.4228985507246
"5-2002",61.3525892857143
"5-2003",74.0996296296296
"5-2004",59.1921904761905
"5-2005",62.1731292517007
"5-2006",59.2140869565217
"5-2007",55.3395061728395
"5-2008",63.0177639751553
"5-2009",55.0931111111111
"5-2010",66.0666292134831
"5-2011",63.7271153846154
"6-2002",55.5915625
"6-2003",74.8334782608696
"6-2004",62.1194845360825
"6-2005",59.1715730337079
"6-2006",60.5430205278592
"6-2007",60.9824352331606
"6-2008",63.3243820224719
"6-2009",57.0409375
"6-2010",62.8208219178082
"6-2011",56.7006451612903
"7-2002",64.3125
"7-2003",69.236
"7-2004",67.0723595505618
"7-2005",56.7095185185185
"7-2006",59.1717817371938
"7-2007",58.6150949367089
"7-2008",58.545376344086
"7-2009",67.5301538461539
"7-2010",65.8397637795276
"7-2011",68.83336
"8-2002",62.6131578947368
"8-2003",60.9623404255319
"8-2004",63.3704210526316
"8-2005",59.397488372093
"8-2006",60.0509944751381
"8-2007",63.0057446808511
"8-2008",61.6066129032258
"8-2009",64.59
"8-2010",65.9816417910448
"8-2011",62.9782178217822
"9-2002",62.3895454545455
"9-2003",60.7141791044776
"9-2004",53.0476136363636
"9-2005",60.2989583333333
"9-2006",63.9897770700637
"9-2007",64.6799310344828
"9-2008",66.863795620438
"9-2009",58.7472368421053
"9-2010",66.2175714285714
"9-2011",62.2097368421053
